name;phone;address.streetName;address.municipalitySubdivision;address.postalCode;freeformAddress;position_lat;position_lon;categoryset;categories
Pastelaria Cafouro;+351 21 342 1028;Rua Áurea;Santa Maria Maior;1100;Rua Áurea, 1100 Lisboa (1100-061);38.711046;-9.138857;9361018;food drinks: bakers, shop
Pastelaria Restinga;+351 21 322 3801;Rua da Prata;Santa Maria Maior;1100;Rua da Prata 233, 1100 Lisboa;38.71231;-9.137355;9361018;food drinks: bakers, shop
Pau De Canela;+351 21 805 9132;Rua da Vitória;Santa Maria Maior;1100;Rua da Vitória, 1100 Lisboa;38.71085;-9.138054;9376002;café, café/pub
Paul - Rua Augusta;+351 21 347 0200;Rua Augusta;Santa Maria Maior;1100;Rua Augusta 142, 1100 Lisboa;38.710817;-9.13762;9361018;food drinks: bakers, shop
Portologia Lisboa, La Maison Des Porto;+351 21 017 9313;Rua de São Julião;Santa Maria Maior;1100;Rua de São Julião, 1100 Lisboa;38.70969;-9.135253;9379004;bar, nightlife
Royal Vessel Bar;;Rua Augusta;Santa Maria Maior;1150;Rua Augusta 23, 1150 Lisboa;38.708963;-9.137133;7315039;pub food, restaurant
Solar Da Madalena;+351 961 654 862;Rua Da Madalena N228;Santa Maria Maior;1100 31;Rua Da Madalena N228, 1100 31 Lisboa;38.713334;-9.1366;9376002;café, café/pub
Starbucks Santa Justa;+351 937 000 000;Rua de Santa Justa;Santa Maria Maior;1100;Rua de Santa Justa 79, 1100 Lisboa;38.712209;-9.138603;9376002;café, café/pub
The Coffee;;Rua dos Douradores;Santa Maria Maior;1100;Rua dos Douradores 96, 1100 Lisboa;38.711399;-9.136534;9376002;café, café/pub
Wonderland Cocktail Bar;+351 916 739 466;Rua de Santa Justa;Santa Maria Maior;1100;Rua de Santa Justa 98, 1100 Lisboa;38.712214;-9.139302;9379004;bar, nightlife
